Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/97506805/clean-title-2018-hyundai-sonata-sport-oh-akron,97506805,0 USD,05/05/2026 03:00 pm GMT+1,2018,HYUN,SONATA,2.4L  4,4,5NPE34AF4JH******,CERT OF TITLE-REPOSSESSION,"129,906 N",NOT ACTUAL,MECHANICAL,0 USD,0 USD,1148,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/92744605/clean-title-2022-kia-sportage-s-oh-akron,92744605,0 USD,05/05/2026 03:00 pm GMT+1,2022,KIA,SPORTAGE,2.4L  4,4,KNDP6CAC0N7******,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,ROLLOVER,0 USD,0 USD,1149,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/90997595/clean-title-2017-nissan-altima-3-5sl-oh-akron,90997595,0 USD,05/05/2026 03:00 pm GMT+1,2017,NISS,ALTIMA,3.5L  6,6,1N4BL3AP5HC******,CERTIFICATE OF TITLE,"122,003 N",NOT ACTUAL,MECHANICAL,600 USD,0 USD,1130,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/79043395/clean-title-2003-toyota-tacoma-prerunner-oh-akron,79043395,0 USD,05/05/2026 03:00 pm GMT+1,2003,TOYT,TACOMA,2.7L 4,4,5TESM92N83Z******,CERTIFICATE OF TITLE,"316,267 A",ACTUAL,FRONT END,"1,500 USD",0 USD,1135,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/78421575/clean-title-2017-land-rover-discovery-sport-se-oh-akron,78421575,0 USD,05/05/2026 03:00 pm GMT+1,2017,LAND,DISCOVERY SPORT,2.0L  4,4,SALCP2BGXHH******,CERTIFICATE OF TITLE,"177,909 A",ACTUAL,FRONT END,"1,950 USD",0 USD,1146,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/77855595/clean-title-2018-chrysler-pacifica-limited-oh-akron,77855595,0 USD,05/05/2026 03:00 pm GMT+1,2018,CHRY,PACIFICA,3.6L  6,6,2C4RC1GG5JR******,CERTIFICATE OF TITLE,"145,744 A",ACTUAL,MECHANICAL,0 USD,0 USD,1145,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/77847465/clean-title-2018-kia-sorento-lx-oh-akron,77847465,0 USD,05/05/2026 03:00 pm GMT+1,2018,KIA,SORENTO,2.4L  4,4,5XYPG4A35JG******,CERTIFICATE OF TITLE,"131,318 A",ACTUAL,MECHANICAL,0 USD,0 USD,1150,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/77435005/clean-title-2018-ford-explorer-platinum-oh-akron,77435005,0 USD,05/05/2026 03:00 pm GMT+1,2018,FORD,EXPLORER,3.5L  6,6,1FM5K8HT3JG******,CERT OF TITLE-REPOSSESSION,"151,114 A",ACTUAL,MECHANICAL,0 USD,0 USD,1134,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/74388175/clean-title-2007-hummer-h3-oh-akron,74388175,0 USD,05/05/2026 03:00 pm GMT+1,2007,HUMM,H3,3.7L  5,5,5GTDN13E178******,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,SIDE,800 USD,0 USD,1129,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/73662955/clean-title-2015-ford-f150-supercrew-oh-akron,73662955,0 USD,05/05/2026 03:00 pm GMT+1,2015,FORD,F150,5.0L  8,8,1FTEW1EF9FF******,CERTIFICATE OF TITLE,"167,957 A",ACTUAL,MECHANICAL,"4,000 USD",0 USD,1127,OH - AKRON,0,N/A,N/A
